finding_id,severity,table,policy,finding,evidence,recommended_decision,migration_required,human_business_decision_required,finding_classification
phase32c_0060,medium,category,phase32b_category_authenticated_read_guard,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0061,medium,custom_offering,custom_offering_select_admin,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0062,medium,custom_offering,custom_offering_select_published_or_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0063,medium,custom_offering,custom_offering_write_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0064,medium,design,design_select_admin,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0065,medium,design,design_select_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0066,medium,design_product_reference,design_product_reference_select_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0067,medium,design_product_reference,design_product_reference_write_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0068,medium,design_version,design_version_select_admin,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0069,medium,design_version,design_version_select_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0070,medium,furnishing_request,furnishing_request_select,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0071,medium,furnishing_request,furnishing_request_select_admin,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0072,medium,furnishing_request,furnishing_request_write_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0073,medium,furnishing_request_design_version,furnishing_request_design_version_select,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0074,medium,furnishing_request_design_version,furnishing_request_design_version_write_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0075,medium,marketplace_party,marketplace_party_select_admin,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0076,medium,marketplace_party,marketplace_party_select_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0077,medium,marketplace_party,marketplace_party_select_public,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0078,medium,offer,offer_select_admin,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0079,medium,offer,offer_select_own_or_requesting_customer,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0080,medium,offer_line_item,offer_line_item_select,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0081,medium,offer_line_item,offer_line_item_select_admin,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0082,medium,offer_line_item,offer_line_item_write_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0083,medium,order_line_item,order_line_item_select_admin,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0084,medium,order_line_item,order_line_item_select_engaged,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0085,medium,party_capability,party_capability_select,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0086,medium,party_capability,party_capability_write_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0087,medium,payment,payment_select_admin,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0088,medium,payment,payment_select_customer,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0089,medium,product,phase32b_product_authenticated_read_guard,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0090,medium,product,phase32b_product_owner_read,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0091,medium,product,product_select_admin,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0092,medium,product,product_select_published_or_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0093,medium,product,product_write_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0094,medium,product_3d_model,phase32b_product_3d_model_authenticated_read_guard,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0095,medium,product_3d_model,phase32b_product_3d_model_owner_read,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0096,medium,product_3d_model,product_3d_model_select,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0097,medium,product_3d_model,product_3d_model_write_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0098,medium,product_color,phase32b_product_color_authenticated_read_guard,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0099,medium,product_color,phase32b_product_color_owner_read,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0100,medium,product_color,product_color_select,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0101,medium,product_color,product_color_write_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0102,medium,product_enrichment_assignment,phase32b_enrichment_authenticated_read_guard,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0103,medium,product_enrichment_assignment,phase32b_enrichment_owner_read,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0104,medium,product_enrichment_assignment,product_enrichment_assignment_select,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0105,medium,product_enrichment_assignment,product_enrichment_assignment_write_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0106,medium,product_image,phase32b_product_image_authenticated_read_guard,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0107,medium,product_image,phase32b_product_image_owner_read,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0108,medium,product_image,product_image_select,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0109,medium,product_image,product_image_write_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0110,medium,purchase_order,purchase_order_select_admin,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0111,medium,purchase_order,purchase_order_select_engaged,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0112,medium,refund,refund_select_admin,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0113,medium,refund,refund_select_customer,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0114,medium,review,review_select_admin,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0115,medium,review,review_select_public,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0116,medium,review,review_write_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0117,medium,service_request,service_request_select,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0118,medium,service_request,service_request_select_admin,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0119,medium,service_type,service_type_select_public,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0120,medium,service_type,service_type_write_admin,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0121,medium,settlement,settlement_select_admin,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0122,medium,settlement,settlement_select_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
